,Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Sujata Mastani,18.511792754341577,73.85214493967393,Ice Cream Shop
1,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Lal Mahal,18.518719674058865,73.85655641555786,Historic Site
2,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Bhagat Tarachand,18.514332265559556,73.85131729012238,Indian Restaurant
3,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Raja Dinkar Kelkar museum,18.510743623888896,73.85438919067383,History Museum
4,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Hotel Madhuban,18.519248295410485,73.84868804177536,Tea Room
5,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Mad Over Donuts,18.519335111404256,73.84531961315069,Donut Shop
6,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Café GoodLuck,18.5173883002662,73.8414854187446,Café
7,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Krishna Juice Bar,18.52355342051691,73.84765077882606,Juice Bar
8,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Barbeque Nation,18.516237355048084,73.84222283288595,BBQ Joint
9,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Vaishali | वैशाली,18.52090576092219,73.84128332227108,South Indian Restaurant
10,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Tilak Hotel,18.50960261815985,73.84688277838784,Snack Place
11,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Le Plaisir,18.51420497479481,73.83855092544634,Bistro
12,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Shree Wadeshwar Bhuvan,18.510752727983352,73.85374824193698,Vegetarian / Vegan Restaurant
13,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Hotel Roopali,18.519342952744918,73.84133382675628,Indian Restaurant
14,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Ranade Tapri,18.518439123214733,73.84118200709439,Fast Food Restaurant
15,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Mohan Ice Cream,18.520619663670587,73.84606955610744,Ice Cream Shop
16,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Flavours,18.51893083023205,73.84140902977073,Sandwich Place
17,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Sukanta,18.51694169413758,73.84428399256002,Vegetarian / Vegan Restaurant
18,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Bal Gandharva Ranga Mandir,18.52233273885281,73.84801999609671,Theater
19,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Bipin Snacks And Juice Bar,18.513013126098517,73.83992106106976,Snack Place
20,Appa Balwant Chowk,18.516483671884753,73.85387026191101,J 1,18.524200873103304,73.84354604804945,Maharashtrian Restaurant
21,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Shahji's Paratha House,18.52260120168244,73.84441289536777,Vegetarian / Vegan Restaurant
22,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Natural Ice Cream,18.52312637552247,73.84746530397125,Ice Cream Shop
23,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Modern PDMBA Sports Complex,18.52551169684312,73.84787007012933,Stadium
24,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Ganraj Restaurant,18.509120894706307,73.85364690561192,Vegetarian / Vegan Restaurant
25,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Jayashree Paavbhaji,18.504979638515653,73.85429139284874,Indian Restaurant
26,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Panchvati Gaurav,18.51787902732216,73.83862257779535,Indian Restaurant
27,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Hotel Gandharva,18.522570513504427,73.84906588085734,Indian Restaurant
28,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Parvati,18.498190564461044,73.84958786400306,Trail
29,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Chitale Bandhu Mithaiwale,18.515742642741714,73.8418978810121,Dessert Shop
30,Appa Balwant Chowk,18.516483671884753,73.85387026191101,The Chocolate Room,18.518450934654,73.84157442251627,Coffee Shop
31,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Wadeshwar,18.518656145726464,73.84148287858373,Vegetarian / Vegan Restaurant
32,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Coconut Grove,18.5256809132634,73.86698863631743,Seafood Restaurant
33,Appa Balwant Chowk,18.516483671884753,73.85387026191101,By The Way,18.525058508695786,73.84154053093603,Italian Restaurant
34,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Shabree,18.52459075247133,73.8416670504523,Indian Restaurant
